CWL Season: June 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
الصحاب وبس,joshu,18,KingOfGame,18,3,100.0%,2:18
الصحاب وبس,brocaleb,18,DOOM☠️LORD,18,3,100.0%,2:07
الصحاب وبس,babyacorns,18,Xx-C4-uAe-xX,18,3,100.0%,1:37
الصحاب وبس,YokoEno,18,mando,18,3,100.0%,2:32
الصحاب وبس,Little Roodie!,18,VISIONARY,18,3,100.0%,1:49
الصحاب وبس,Roodies Raiders,18,._____K.M_____.,18,3,100.0%,1:38
الصحاب وبس,jay,18,SYX☠️THEMAESTRO,18,2,94.0%,3:00
الصحاب وبس,kat,18,HELL☠️LORD,18,3,100.0%,2:30
الصحاب وبس,rackam,18,Mr.Ayman math,18,3,100.0%,1:43
الصحاب وبس,Ryan,18,DARK☠️LORD,18,2,75.0%,2:51
الصحاب وبس,CRASH,18,Xx-C4-uAe-xX,18,2,95.0%,3:00
الصحاب وبس,ben,18,ＳＹＸ⚡Ａｂｄｕｌｌａｈ⚡,18,3,100.0%,2:44
الصحاب وبس,Brad,18,ೈ❦፝͢͡Dᴧмᴧԍɛ✦,18,3,100.0%,2:01
الصحاب وبس,Juliet,18,أنس الحادق,18,2,86.0%,2:04
الصحاب وبس,LLoh7,18,❤️꧁༒☬KERO☬༒꧂,18,3,100.0%,2:16
Lil Truko Elite,LLoh7,18,PapushkiLaCabra,18,3,100.0%,1:39
Lil Truko Elite,joshu,18,OPTIMUS PRIME,18,3,100.0%,2:17
Lil Truko Elite,MonseurMaiDra,18,Big Mike,18,3,100.0%,2:11
Lil Truko Elite,brocaleb,18,⭐️JR5⭐️,18,3,100.0%,2:22
Lil Truko Elite,babyacorns,18,theking503,18,3,100.0%,1:41
Lil Truko Elite,YokoEno,18,LTuX,18,3,100.0%,2:26
Lil Truko Elite,kat,18,ҜЇҋԌ.,18,3,100.0%,2:30
Lil Truko Elite,jay,18,Prof. Dan,18,2,89.0%,2:33
Lil Truko Elite,rackam,18,Papushkiiii,18,3,100.0%,2:12
Lil Truko Elite,alphaster17,18,POSEIDON,18,2,96.0%,2:56
Lil Truko Elite,Little Roodie!,18,chris 2,18,3,100.0%,2:10
Lil Truko Elite,Roodies Raiders,18,O B I T O,18,2,87.0%,1:44
Lil Truko Elite,Brad,18,RONALDO,18,3,100.0%,1:30
Lil Truko Elite,CRASH,18,Papushkii,18,2,83.0%,2:45
Lil Truko Elite,ben,18,Abd,18,3,100.0%,2:09
